position,champion,game_time,total_games,win_count,win_rate
MIDDLE,워윅,30-35분,7,5.0,71.43
MIDDLE,케일,30-35분,11,7.0,63.64
MIDDLE,브랜드,20-25분,8,3.0,37.5
TOP,말자하,35-40분,7,3.0,42.86
UTILITY,아이번,25-30분,8,7.0,87.5
TOP,브랜드,20-25분,5,2.0,40.0
TOP,아리,30-35분,5,2.0,40.0
MIDDLE,애니,40분+,5,1.0,20.0
MIDDLE,럭스,40분+,9,4.0,44.44
TOP,바이,20-25분,6,4.0,66.67
BOTTOM,요네,0-20분,5,2.0,40.0
MIDDLE,마스터 이,0-20분,8,5.0,62.5
UTILITY,오공,0-20분,5,3.0,60.0
UTILITY,샤코,40분+,8,4.0,50.0
UTILITY,리 신,25-30분,7,3.0,42.86
TOP,마스터 이,35-40분,7,5.0,71.43
MIDDLE,브라이어,20-25분,5,2.0,40.0
