position,champion,strategy,pick_count,win_count,avg_swap_time,win_rate
JUNGLE,쉬바나,예언자의 렌즈 (유지),3,2,0.0,66.66666666666666
JUNGLE,쉬바나,투명 와드 (유지),2,1,0.0,50.0
JUNGLE,쉬바나,투명 와드 ➡ 예언자의 렌즈,11,2,578429.4545454546,18.181818181818183
JUNGLE,스몰더,예언자의 렌즈 (유지),1,0,0.0,0.0
JUNGLE,스카너,망원형 개조 (유지),3,1,0.0,33.33333333333333
JUNGLE,스카너,예언자의 렌즈 (유지),127,65,0.0,51.181102362204726
JUNGLE,스카너,예언자의 렌즈 ➡ 망원형 개조,2,0,960279.5,0.0
JUNGLE,스카너,예언자의 렌즈 ➡ 투명 와드,1,1,60022.0,100.0
JUNGLE,스카너,투명 와드 (유지),7,1,0.0,14.285714285714285
JUNGLE,스카너,투명 와드 ➡ 망원형 개조,1,0,240083.0,0.0
JUNGLE,스카너,투명 와드 ➡ 예언자의 렌즈,265,123,342947.55849056604,46.41509433962264
JUNGLE,신 짜오,망원형 개조 ➡ 예언자의 렌즈,1,0,1800633.0,0.0
JUNGLE,신 짜오,예언자의 렌즈 (유지),759,376,0.0,49.538866930171274
JUNGLE,신 짜오,예언자의 렌즈 ➡ 투명 와드,13,9,60017.230769230766,69.23076923076923
JUNGLE,신 짜오,투명 와드 (유지),39,15,0.0,38.46153846153847
JUNGLE,신 짜오,투명 와드 ➡ 망원형 개조,4,1,705270.5,25.0
JUNGLE,신 짜오,투명 와드 ➡ 예언자의 렌즈,1363,665,392917.73587674246,48.789435069699195
