position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
MIDDLE,조이,6.08,4.16,6.66,4.73,22764.3901,16709.3908,27.3593,10772.9597,188.9128,1562.27,1.72,874.28,413.74,1.05,641.74
BOTTOM,벨코즈,6.02,4.15,8.54,5.19,24190.7472,15490.9418,25.4541,12697.9754,211.7338,1627.68,0.77,891.72,468.08,0.94,571.03
UTILITY,카르마,1.56,5.25,13.02,4.15,10471.7839,18500.5102,84.4393,7928.6921,31.3035,1573.81,0.15,399.23,302.27,3.22,705.31
TOP,라이즈,4.29,5.18,5.15,2.6,22705.1365,26010.0406,27.7184,11356.3229,222.0959,1591.14,1.38,856.18,428.23,1.05,980.81
MIDDLE,리산드라,4.19,5.31,8.88,3.54,19809.3375,22062.9325,26.7801,10527.8949,196.9769,1565.27,0.81,759.33,403.56,1.03,845.72
JUNGLE,헤카림,6.41,4.44,8.12,5.11,17192.7529,33062.6674,26.8317,11885.0483,201.1808,1530.9,0.89,673.83,465.81,1.05,1295.81
UTILITY,노틸러스,1.69,6.14,12.83,3.38,8512.0156,20449.6163,79.7651,7672.306,28.1033,1554.15,0.16,328.62,296.2,3.08,789.49
TOP,바루스,6.28,6.61,4.16,2.24,23242.7996,22753.8625,24.7004,11135.221,190.1375,1554.21,2.64,897.28,429.87,0.95,878.41
MIDDLE,빅토르,4.31,5.0,6.09,3.01,23980.8913,18280.336,24.1383,10696.2712,207.112,1566.85,0.97,918.31,409.6,0.92,700.02
UTILITY,마오카이,1.84,5.71,12.66,3.57,10518.1469,23995.9914,83.8928,7922.3483,31.0216,1578.19,0.14,399.88,301.19,3.19,912.29
BOTTOM,트리스타나,8.05,5.09,4.99,3.77,22074.6033,19053.4324,23.1659,13642.9655,206.5384,1535.05,0.76,862.83,533.26,0.91,744.74
MIDDLE,야스오,5.09,5.88,5.33,2.59,19021.3959,23661.9572,22.446,10977.2138,210.4621,1536.57,1.4,742.75,428.64,0.88,923.95
UTILITY,나미,1.35,4.99,14.68,4.68,8638.0219,15970.0571,79.0944,7879.3927,26.0312,1576.55,0.12,328.74,299.87,3.01,607.78
TOP,요네,4.66,6.31,4.15,2.02,22192.9218,25870.4292,23.4404,11031.5898,210.4487,1574.54,2.09,845.69,420.37,0.89,985.83
JUNGLE,니달리,6.96,4.04,8.2,5.87,18521.1658,25797.8774,34.6498,11788.2893,178.972,1533.05,0.83,724.88,461.37,1.36,1009.67
UTILITY,판테온,5.31,7.57,9.77,2.87,17182.5725,24730.7054,81.4349,9219.8392,34.0967,1567.32,0.64,657.78,352.95,3.12,946.74
TOP,갱플랭크,5.44,5.42,6.17,3.18,25485.1886,25008.6626,23.5037,12587.4956,209.3984,1596.67,1.92,957.69,473.01,0.88,939.78
JUNGLE,카직스,8.47,4.92,5.87,4.43,21525.3474,25191.321,35.5211,13330.248,184.0167,1580.03,1.75,817.4,506.2,1.35,956.61
MIDDLE,다이애나,6.03,6.05,5.58,2.8,21859.755,21110.1788,22.0624,10989.2819,189.8098,1533.88,1.97,855.08,429.86,0.86,825.76
UTILITY,니코,2.34,5.62,11.22,3.45,13945.9447,19308.2618,84.6997,8174.8419,35.5337,1574.07,0.2,531.59,311.61,3.23,735.99
TOP,루시안,4.46,6.81,4.61,1.52,22652.4815,22850.1481,27.2963,11531.2407,210.8704,1627.39,1.65,835.17,425.14,1.01,842.46
JUNGLE,그웬,6.69,4.7,6.0,4.23,20770.8877,29747.4568,32.1998,12397.9555,191.3826,1524.06,0.91,817.72,488.09,1.27,1171.12
MIDDLE,요네,4.51,5.63,4.89,2.6,20134.0518,27210.2527,22.6742,10977.5489,216.0596,1550.7,1.45,779.03,424.75,0.88,1052.82
TOP,티모,4.61,4.89,4.69,2.89,22877.1384,20369.7909,31.4025,10828.1761,202.9969,1558.83,1.89,880.55,416.78,1.21,784.04
MIDDLE,트리스타나,6.16,5.27,4.06,2.75,20883.7991,21449.9626,24.9299,12036.3154,209.9089,1554.93,1.44,805.84,464.44,0.96,827.69
BOTTOM,코르키,7.13,5.7,6.58,3.39,25537.2213,20302.2213,22.4631,13462.6942,217.3396,1572.92,0.76,974.13,513.54,0.86,774.44
BOTTOM,세라핀,3.68,4.57,9.32,4.31,14497.4921,14743.7937,19.4921,10827.1429,184.4603,1507.95,0.25,576.84,430.8,0.78,586.64
UTILITY,잭스,3.61,6.46,8.75,3.04,12154.4286,23181.0,81.3929,8290.0357,37.9286,1540.64,0.64,473.35,322.85,3.17,902.78
TOP,탐 켄치,3.21,4.32,5.9,3.4,16472.8362,30895.9386,24.3891,9555.7167,168.6758,1558.99,1.37,633.98,367.76,0.94,1189.07
MIDDLE,누누와 윌럼프,7.01,5.79,9.06,4.01,21437.4409,26076.4089,17.4792,10576.6486,155.524,1594.36,2.22,806.75,398.03,0.66,981.32
MIDDLE,아크샨,8.28,5.12,5.36,4.09,23530.0395,18690.763,23.7084,12596.1689,198.9176,1577.75,1.98,894.82,479.02,0.9,710.79
JUNGLE,나피리,7.45,4.85,6.68,4.22,19314.7625,25958.515,28.2,12188.8025,184.2375,1572.02,1.15,737.2,465.22,1.08,990.77
MIDDLE,니코,4.62,4.46,7.73,4.14,19703.0926,19374.2551,23.5959,10524.2438,192.0903,1569.02,0.98,753.45,402.45,0.9,740.88
TOP,사일러스,5.01,6.16,5.52,2.44,20478.1488,32600.1232,23.1056,10147.3408,170.0848,1568.6,1.92,783.3,388.14,0.88,1246.98
JUNGLE,판테온,7.51,4.85,7.62,4.89,19276.961,29190.8338,31.361,11760.2416,166.0052,1577.57,0.8,733.16,447.28,1.19,1110.22
BOTTOM,진,6.55,4.72,7.87,4.55,21371.9939,18058.0693,21.3312,13045.8442,213.1373,1594.91,0.52,804.01,490.78,0.8,679.34
TOP,오른,2.75,4.17,7.78,3.78,16930.2135,29692.7296,22.9858,9584.5964,177.0013,1590.62,1.04,638.63,361.54,0.87,1120.04
JUNGLE,자이라,5.65,4.7,9.43,4.88,23133.955,18452.123,37.8244,12348.3749,210.8278,1589.38,0.67,873.32,466.16,1.43,696.58
MIDDLE,이즈리얼,5.69,5.41,5.16,2.45,25006.1633,21342.2653,18.0,11566.9796,209.4286,1530.16,1.35,980.53,453.56,0.71,836.86
TOP,말파이트,3.31,4.31,6.93,3.52,18911.0431,21855.4196,24.5428,9751.6834,181.6152,1556.98,1.17,728.76,375.79,0.95,842.22
MIDDLE,이렐리아,6.17,6.51,4.56,2.4,20810.9474,28935.5825,20.8905,12260.4486,226.2317,1537.66,2.47,812.05,478.41,0.82,1129.07
MIDDLE,레넥톤,4.73,5.21,6.12,2.98,18769.12,32882.68,24.352,10831.972,200.268,1543.52,1.32,729.59,421.06,0.95,1278.22
TOP,녹턴,4.45,6.34,6.63,2.51,18100.4495,28498.5202,16.6869,10457.3586,186.2424,1531.93,1.61,708.93,409.58,0.65,1116.18
JUNGLE,키아나,7.66,5.07,6.88,4.35,20792.2596,24644.8868,33.8698,13566.3577,193.139,1586.59,1.2,786.3,513.04,1.28,932.0
TOP,레넥톤,4.54,5.03,4.96,2.83,19874.938,33956.5599,25.6222,10830.6812,203.3049,1548.31,1.93,770.19,419.71,0.99,1315.89
MIDDLE,제드,6.91,4.75,5.14,3.8,24181.0574,20773.2898,22.7001,12038.509,198.8407,1589.07,2.17,913.02,454.55,0.86,784.35
JUNGLE,녹턴,6.02,5.1,8.68,4.26,16885.8215,31477.2678,31.9851,11574.2579,181.9388,1580.56,0.97,641.01,439.37,1.21,1194.91
MIDDLE,오로라,6.19,4.7,5.95,3.8,24259.2071,20358.7274,25.5714,11070.7119,199.7545,1573.05,1.54,925.3,422.26,0.98,776.53
TOP,리븐,5.71,5.49,4.11,2.77,18909.1559,23389.8382,22.8969,11273.8148,193.6094,1541.03,2.33,736.23,438.95,0.89,910.68
MIDDLE,오리아나,4.39,4.4,7.96,4.27,21001.5318,18367.0448,25.3891,10840.8739,210.2581,1566.58,1.06,804.36,415.21,0.97,703.46
TOP,요릭,3.68,4.48,4.06,2.62,21931.1449,29426.2925,25.6179,11581.9578,217.8893,1579.1,1.63,833.3,440.07,0.97,1118.09
JUNGLE,제드,7.91,4.94,6.71,4.5,22059.7849,24399.0239,30.365,13324.3927,191.686,1594.4,1.24,830.15,501.42,1.14,918.17
TOP,신지드,3.48,4.99,7.97,3.43,16970.4309,29348.5464,24.3981,10766.3294,214.0773,1584.56,0.97,642.59,407.67,0.92,1111.29
JUNGLE,오공,5.6,4.52,7.92,4.62,16125.7497,29167.9316,36.1564,11384.1275,174.9027,1597.85,0.64,605.53,427.48,1.36,1095.27
BOTTOM,미스 포츈,7.34,5.58,6.57,3.59,23641.3536,17742.0903,23.5701,13819.7845,216.1843,1556.5,0.63,911.33,532.73,0.91,683.92
JUNGLE,릴리아,5.96,4.38,8.27,5.23,20742.178,32322.5924,29.1857,11924.7897,195.7134,1575.18,0.64,790.09,454.22,1.11,1231.19
BOTTOM,바루스,6.56,5.59,7.0,3.59,24349.9752,17627.4372,23.3017,12925.4274,210.1219,1578.49,0.6,925.57,491.31,0.89,670.04
TOP,베인,5.37,5.71,3.77,2.34,21765.4501,21279.9734,26.4024,10937.7605,192.8847,1552.23,2.0,841.32,422.79,1.02,822.56
BOTTOM,닐라,7.54,5.73,5.54,3.29,18979.8972,21603.2443,18.7303,13734.4873,205.7383,1539.62,0.66,739.66,535.24,0.73,841.89
JUNGLE,킨드레드,8.17,5.37,6.37,4.16,20946.4053,23008.0102,33.9212,12193.4504,180.7451,1509.23,0.93,832.73,484.76,1.35,914.69
TOP,카밀,5.36,5.37,4.97,2.82,21242.6179,29291.3338,24.3118,10982.6612,184.6964,1556.1,1.96,819.07,423.47,0.94,1129.41
UTILITY,렐,1.66,5.67,15.26,4.28,7587.957,20488.1013,84.2788,7883.8532,27.4065,1562.61,0.13,291.36,302.72,3.24,786.69
TOP,피즈,4.31,5.46,4.69,1.75,16472.5385,21756.4615,31.3077,11031.5385,193.6154,1717.69,1.23,575.4,385.34,1.09,759.97
TOP,자헨,4.22,5.07,4.69,2.67,20868.7514,35712.3712,24.6302,10561.0461,190.6593,1540.21,1.57,812.96,411.41,0.96,1391.2
UTILITY,소라카,0.92,5.27,13.31,4.01,5867.3142,15354.2119,74.6645,7454.9191,25.1416,1552.46,0.12,226.76,288.12,2.89,593.42
JUNGLE,렉사이,6.98,4.25,8.36,5.77,16149.8841,31291.3652,30.9637,11527.1089,168.7462,1534.46,0.75,631.49,450.73,1.21,1223.54
UTILITY,타릭,1.18,5.08,14.23,4.57,5403.1812,21403.8974,74.3538,7669.2617,36.3337,1523.36,0.09,212.81,302.07,2.93,843.03
UTILITY,렝가,4.3,6.29,10.14,3.53,14921.928,24845.312,74.256,9048.696,48.48,1488.37,0.81,601.54,364.78,2.99,1001.58
MIDDLE,비에고,6.19,5.26,5.22,3.37,18654.8273,24676.5823,24.8795,10994.9679,190.3373,1522.11,1.45,735.35,433.41,0.98,972.73
BOTTOM,직스,5.0,4.79,7.91,4.03,26968.2735,15672.8689,21.7507,12906.9373,221.9117,1591.5,0.59,1016.71,486.59,0.82,590.87
TOP,카시오페아,4.92,5.58,5.16,2.78,20379.4936,24910.6197,25.894,10783.6143,204.2377,1589.35,2.03,769.35,407.09,0.98,940.41
UTILITY,파이크,5.2,6.52,9.66,3.21,10639.0323,18990.2848,89.0642,9022.6261,28.1094,1562.67,0.43,408.5,346.43,3.42,729.15
JUNGLE,자르반 4세,5.01,4.66,11.95,5.65,14710.7504,26747.6995,34.044,10992.8499,163.2267,1548.26,0.56,570.09,426.01,1.32,1036.56
UTILITY,럭스,3.02,5.9,12.3,3.91,15954.3897,15546.7807,82.9595,8684.2374,41.5503,1583.09,0.28,604.68,329.14,3.14,589.23
MIDDLE,탈론,7.67,5.25,5.46,3.77,21559.8462,24316.8338,22.4594,12014.5412,199.8585,1572.68,2.55,822.54,458.37,0.86,927.72
UTILITY,르블랑,4.78,6.08,10.22,3.45,18527.4523,20048.147,90.7447,9163.4313,33.2342,1575.98,0.76,705.37,348.87,3.45,763.26
TOP,케넨,5.28,5.27,5.43,2.91,23570.5193,21168.1465,29.1095,11251.0456,198.6115,1578.11,2.15,896.16,427.77,1.11,804.82
MIDDLE,트위스티드 페이트,3.84,4.24,8.47,4.53,16447.1991,21567.912,26.4528,11716.1798,200.0794,1565.73,0.5,630.27,448.97,1.01,826.5
UTILITY,레오나,1.51,5.88,12.93,3.56,8561.6276,22187.6487,84.8329,7662.1316,28.8857,1557.9,0.11,329.74,295.09,3.27,854.52
MIDDLE,흐웨이,4.43,4.72,7.24,3.71,23374.0705,17924.7718,25.6365,10864.0357,207.0822,1620.28,0.86,865.56,402.3,0.95,663.77
UTILITY,갈리오,1.92,5.83,13.01,4.04,9488.4055,21805.5714,78.3364,7843.3733,31.6774,1547.52,0.17,367.88,304.1,3.04,845.44
JUNGLE,탈리야,7.06,5.04,9.14,5.18,22457.9772,18560.4815,31.1239,12893.4687,200.235,1580.35,0.76,852.65,489.52,1.18,704.67
UTILITY,세나,2.75,5.43,13.39,4.59,15337.6718,20026.3996,79.2405,9239.9448,35.359,1572.62,0.22,585.18,352.53,3.02,764.07
JUNGLE,엘리스,7.37,4.88,7.09,4.83,17692.9632,22426.1103,34.3929,11460.6565,158.3992,1538.2,0.96,690.14,447.04,1.34,874.77
BOTTOM,드레이븐,7.58,5.73,5.64,3.51,23119.491,19193.1232,21.7133,14262.8808,211.1293,1549.72,0.68,895.11,552.21,0.84,743.09
TOP,문도 박사,3.66,4.24,4.72,2.96,22426.2679,47387.6041,21.8773,10507.8185,197.8781,1541.67,1.42,872.81,408.95,0.85,1844.27
UTILITY,벨코즈,3.68,6.63,10.76,3.21,21225.2956,17441.6356,84.2689,8951.0222,42.1511,1623.02,0.52,784.66,330.9,3.12,644.78
TOP,사이온,3.02,4.51,6.57,3.08,18440.4422,35736.8113,23.3747,10241.5452,196.4215,1561.28,1.03,708.67,393.58,0.9,1373.37
TOP,누누와 윌럼프,2.67,4.0,7.33,2.78,11758.3333,20538.6667,19.0,7485.0,121.6667,1284.0,1.0,549.45,349.77,0.89,959.75
UTILITY,니달리,2.5,4.55,11.55,4.6,10947.6816,21500.7612,85.902,8358.9837,32.5653,1524.61,0.21,430.84,328.96,3.38,846.15
JUNGLE,세주아니,3.97,4.24,11.47,5.72,14959.0883,32084.2916,31.4559,10510.5154,161.5873,1578.2,0.4,568.72,399.59,1.2,1219.78
MIDDLE,갱플랭크,5.21,4.67,6.84,4.19,24643.9647,24159.1176,24.1765,13360.3647,235.2,1630.33,1.56,906.96,491.69,0.89,889.11
UTILITY,피들스틱,2.5,5.67,10.54,3.19,11368.5729,20147.0174,102.8785,8074.4688,35.2465,1596.52,0.24,427.25,303.45,3.87,757.16
TOP,아칼리,6.43,5.37,3.88,2.75,22582.632,25487.0284,24.992,10737.8053,185.5689,1563.03,2.88,866.88,412.19,0.96,978.37
MIDDLE,아지르,4.73,5.21,5.45,2.9,22702.9963,20687.3869,24.3055,11292.9597,217.3577,1568.66,1.21,868.37,431.95,0.93,791.28
JUNGLE,아트록스,5.44,5.26,7.28,3.68,16941.516,33823.9135,29.875,10944.9359,171.8301,1534.5,0.67,662.43,427.96,1.17,1322.54
MIDDLE,초가스,5.21,5.27,4.85,2.92,17653.9178,29510.7123,22.6301,10313.1096,190.5753,1529.07,1.4,692.73,404.68,0.89,1157.99
BOTTOM,자야,6.4,5.27,6.93,3.77,23606.0571,19490.0598,22.4819,13245.0716,221.1748,1556.64,0.57,909.89,510.53,0.87,751.24
TOP,세트,4.98,6.14,4.41,2.18,20700.0632,32881.5158,23.1653,10495.2231,177.9521,1560.3,2.26,796.0,403.58,0.89,1264.43
JUNGLE,벨베스,7.74,4.12,6.11,5.59,15134.4909,25678.7318,28.7104,12125.4175,181.3152,1508.17,1.16,602.1,482.39,1.14,1021.58
TOP,일라오이,4.26,5.67,3.08,1.8,25193.7028,33030.0378,25.0982,11650.3048,228.1209,1574.66,2.45,959.97,443.92,0.96,1258.56
JUNGLE,그레이브즈,7.85,5.0,6.31,4.29,20714.7274,21075.893,33.9883,13006.2525,205.2341,1567.34,0.88,792.99,497.9,1.3,806.81
BOTTOM,애쉬,5.27,5.77,8.2,3.26,20211.5649,17750.3065,27.4479,12013.6854,202.0394,1559.31,0.38,777.71,462.27,1.06,683.01
MIDDLE,모데카이저,5.76,5.02,5.87,4.01,21233.4762,26275.8413,19.0159,10808.6825,190.5079,1568.1,2.06,812.46,413.57,0.73,1005.39
TOP,렝가,5.17,5.26,4.75,2.84,18674.1282,28415.4947,22.8656,11095.3878,191.4962,1525.1,2.01,734.67,436.51,0.9,1117.91
TOP,클레드,5.11,4.96,5.88,3.31,20634.3485,35380.8466,23.3122,11095.2604,189.3321,1545.14,2.1,801.26,430.84,0.91,1373.89
UTILITY,조이,4.06,5.73,10.79,3.57,17816.4571,17322.919,88.6714,9056.4714,40.9429,1619.84,0.5,659.93,335.46,3.28,641.65
BOTTOM,칼리스타,7.89,5.89,6.42,3.65,22402.1425,21327.7466,25.8665,13067.5905,206.7579,1513.75,0.58,887.95,517.96,1.03,845.36
MIDDLE,스웨인,4.82,4.49,8.66,4.6,20998.4798,27132.8195,23.4822,10313.5843,185.8741,1545.06,0.95,815.44,400.51,0.91,1053.66
BOTTOM,블라디미르,9.0,5.0,7.29,6.54,27858.0,35796.4286,18.0,14545.1429,208.5714,1569.43,1.14,1065.02,556.07,0.69,1368.51
TOP,블라디미르,5.1,4.83,4.64,3.22,23345.0711,31014.1108,23.2721,10873.3739,203.7353,1571.25,2.01,891.46,415.21,0.89,1184.31
MIDDLE,에코,6.62,4.54,4.68,3.93,20521.4168,24403.0817,22.1327,11299.6972,196.8158,1545.56,1.59,796.66,438.67,0.86,947.35
TOP,렉사이,4.48,4.74,5.1,3.21,20276.6585,39365.5848,23.6652,10805.3192,188.9241,1546.31,1.67,786.77,419.27,0.92,1527.46
MIDDLE,파이크,8.58,4.42,5.83,4.82,16443.9167,24014.9167,32.0417,11824.2083,161.75,1668.75,1.08,591.24,425.14,1.15,863.46
JUNGLE,문도 박사,4.63,4.05,7.98,4.78,19257.3523,45113.3766,33.4367,11144.0925,182.5795,1577.86,0.47,732.28,423.77,1.27,1715.49
UTILITY,블리츠크랭크,1.56,5.76,12.96,3.67,7888.8162,20839.3323,79.7405,7575.8557,25.3212,1564.55,0.15,302.53,290.53,3.06,799.18
TOP,우디르,4.2,4.21,4.94,3.39,18951.5554,27825.9438,23.9736,10279.7653,189.119,1509.59,2.12,753.25,408.58,0.95,1105.97
BOTTOM,멜,7.88,5.3,5.52,3.39,22905.1815,16447.7722,21.8494,12818.9459,214.2432,1563.95,0.92,878.74,491.79,0.84,631.01
JUNGLE,케인,7.28,5.41,6.56,3.76,18688.0123,28039.6674,27.5606,11959.6099,175.6838,1557.81,1.18,719.78,460.63,1.06,1079.96
MIDDLE,블라디미르,5.43,4.24,4.83,3.72,22448.4375,29728.1365,19.5536,10886.9247,204.3648,1521.54,1.47,885.23,429.31,0.77,1172.29
TOP,리산드라,3.42,4.69,7.28,3.42,18660.6345,21242.1586,30.0207,9967.331,190.0483,1493.26,1.1,749.79,400.49,1.21,853.52
TOP,오로라,5.14,4.89,5.37,3.36,24174.3633,22432.978,28.1238,10661.3852,195.2395,1572.81,1.95,922.21,406.71,1.07,855.78
TOP,뽀삐,3.84,4.59,5.99,3.18,20772.7253,29607.0947,23.9347,9742.852,172.9293,1567.41,1.48,795.17,372.95,0.92,1133.35
UTILITY,스웨인,3.21,6.08,12.11,3.76,15547.0559,29725.6847,76.2017,8633.9407,39.7254,1559.39,0.34,598.2,332.21,2.93,1143.75
TOP,제이스,5.41,6.12,5.17,2.43,24703.6635,21724.1041,26.7232,11690.7166,208.8066,1557.44,2.18,951.7,450.38,1.03,836.91
MIDDLE,카시오페아,5.27,5.16,5.65,3.2,19821.6582,23976.5764,24.2864,10756.6221,204.6931,1566.33,1.39,759.29,412.04,0.93,918.45
TOP,트위스티드 페이트,3.96,4.54,5.96,3.33,17019.04,20274.66,26.86,11306.86,190.88,1538.78,0.96,663.61,440.88,1.05,790.55
JUNGLE,피들스틱,5.44,4.43,9.33,5.19,17801.5,25880.3395,63.1789,11303.0211,175.5118,1607.94,0.6,664.26,421.77,2.36,965.72
MIDDLE,스몰더,5.27,5.52,5.23,2.82,24878.699,21520.699,22.01,11785.2074,225.3244,1568.68,0.92,951.58,450.77,0.84,823.14
TOP,트리스타나,6.03,5.89,3.6,2.47,21796.5,21887.9032,27.1613,11904.4516,207.129,1556.95,2.26,839.97,458.76,1.05,843.49
TOP,자르반 4세,3.89,5.44,8.39,2.56,17283.0,26671.7222,23.8889,10436.5556,176.8333,1617.5,1.06,641.1,387.14,0.89,989.37
MIDDLE,사이온,3.27,4.48,8.07,3.76,17689.5667,38185.8384,23.4075,10719.8525,201.733,1592.46,0.61,666.5,403.9,0.88,1438.75
JUNGLE,잭스,6.68,4.85,6.68,4.36,17423.4066,27381.9627,34.9959,11629.61,174.4813,1534.96,1.06,681.06,454.59,1.37,1070.33
TOP,하이머딩거,4.45,5.53,4.18,2.13,25972.524,18498.0479,28.5898,11090.5479,202.994,1589.78,2.34,980.23,418.57,1.08,698.14
TOP,애니비아,4.73,4.36,6.46,3.66,20191.3255,28020.0182,30.2396,10455.2813,189.0052,1580.02,1.82,766.75,397.03,1.15,1064.04
UTILITY,람머스,2.33,6.24,12.08,3.42,10215.1954,22738.0172,78.3966,8028.4023,30.5,1559.21,0.22,393.09,308.94,3.02,874.98
MIDDLE,멜,6.89,5.2,4.43,3.09,22673.8939,17436.4939,24.0767,11390.9527,210.1257,1585.31,1.62,858.15,431.12,0.91,659.93
TOP,케일,4.28,5.76,4.8,2.11,19874.3367,23035.102,25.0944,11131.4464,213.1224,1562.56,1.52,763.14,427.43,0.96,884.51
JUNGLE,카서스,7.93,6.66,9.19,3.64,30003.9464,25382.4126,28.6111,13291.2833,207.8095,1592.56,0.93,1130.41,500.75,1.08,956.29
MIDDLE,그라가스,5.1,4.48,7.38,4.33,20237.913,25442.0,23.8775,10406.6838,180.1225,1554.92,1.43,780.93,401.57,0.92,981.74
TOP,볼리베어,4.55,5.25,4.43,2.61,20329.26,32524.6647,23.0594,10481.428,183.118,1551.32,2.22,786.27,405.39,0.89,1257.95
UTILITY,오리아나,1.41,5.07,12.33,4.77,11133.4815,15863.5185,76.037,7832.0741,39.2222,1554.7,0.3,429.67,302.26,2.93,612.21
BOTTOM,사미라,9.22,6.34,5.28,3.39,23184.1938,21889.4083,20.4654,13530.5,200.7145,1543.16,0.72,901.43,526.08,0.8,851.09
TOP,세주아니,4.08,5.06,7.7,3.32,20992.3421,29329.8239,25.6255,10172.5385,182.6356,1583.64,1.66,795.34,385.41,0.97,1111.23
TOP,제드,5.99,5.27,4.19,2.58,25231.4171,21569.9943,24.64,12324.0857,203.2571,1608.15,2.39,941.38,459.81,0.92,804.78
