position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
JUNGLE,다이애나,6.4,5.36,7.34,4.14,19239.5733,23218.1533,30.1758,11885.2847,191.7663,1518.41,0.91,760.25,469.65,1.19,917.47
JUNGLE,럼블,6.17,5.51,8.74,4.12,23508.9787,26700.8298,30.7872,12973.1702,196.1277,1686.91,0.81,836.16,461.43,1.1,949.69
TOP,다리우스,5.57,5.43,3.52,2.48,17903.8247,28575.1164,25.5833,10993.4555,198.206,1573.05,2.27,682.9,419.32,0.98,1089.93
MIDDLE,암베사,5.53,5.16,5.57,3.4,21778.7354,24917.8889,21.4709,10868.9841,194.6561,1546.36,1.66,845.03,421.73,0.83,966.83
JUNGLE,트런들,4.71,4.08,8.83,5.0,13095.8308,30707.1294,33.9502,10428.0647,156.4179,1499.8,0.44,523.9,417.18,1.36,1228.45
BOTTOM,야스오,6.42,6.22,6.96,3.21,17987.9096,20486.8105,21.4752,11498.4694,182.4315,1471.71,0.58,733.35,468.78,0.88,835.23
UTILITY,세주아니,2.16,5.79,13.11,3.19,11054.6316,23718.1053,75.1053,7656.3684,31.7895,1464.26,0.16,452.98,313.73,3.08,971.88
TOP,올라프,6.3,5.44,3.98,2.96,22110.2472,27726.0745,23.0411,11512.8043,198.2173,1535.57,2.84,863.93,449.85,0.9,1083.36
UTILITY,애쉬,1.99,6.76,12.1,2.76,13526.75,17992.1,88.025,8281.9125,39.3375,1555.11,0.14,521.89,319.54,3.4,694.18
UTILITY,진,6.33,5.92,11.92,4.14,17999.4167,18531.25,91.75,10885.3333,55.1667,1641.33,0.42,657.98,397.92,3.35,677.42
UTILITY,애니비아,2.79,5.5,11.0,3.92,13496.3968,25517.2302,86.5238,8453.5714,39.246,1560.72,0.27,518.85,324.99,3.33,980.98
UTILITY,모르가나,1.8,5.27,13.43,4.24,11359.1331,18721.0899,83.7171,8154.5923,31.2879,1580.14,0.18,431.32,309.64,3.18,710.87
UTILITY,질리언,1.54,4.47,13.27,5.05,8077.3305,17457.4503,78.6712,7939.5616,33.8014,1561.17,0.14,310.43,305.14,3.02,670.94
TOP,퀸,5.85,5.47,5.71,3.21,22608.4732,20859.3549,29.3239,11393.1972,195.4423,1602.99,1.94,846.24,426.45,1.1,780.77
JUNGLE,자크,5.64,4.08,10.02,6.34,17271.6797,35066.8735,26.8272,11523.7414,179.2771,1573.16,0.71,658.74,439.51,1.02,1337.44
UTILITY,탐 켄치,1.8,6.16,11.4,3.1,10533.5679,29194.6098,78.3345,7842.2997,26.9861,1593.77,0.19,396.55,295.24,2.95,1099.08
UTILITY,그라가스,2.05,5.55,11.85,3.9,11186.3978,24264.4194,81.3333,8039.7204,30.2258,1581.39,0.16,424.43,305.04,3.09,920.63
UTILITY,레나타 글라스크,1.33,5.06,13.84,4.48,8411.3984,17453.8486,79.9363,7657.8048,28.9522,1514.12,0.13,333.32,303.46,3.17,691.65
