position,champion,team,total_games,win_count,win_rate
JUNGLE,마오카이,Blue,37,19,51.35
JUNGLE,마오카이,Red,27,10,37.04
JUNGLE,말파이트,Blue,1815,795,43.8
JUNGLE,말파이트,Red,1679,750,44.67
JUNGLE,모데카이저,Blue,12,7,58.33
JUNGLE,모데카이저,Red,9,4,44.44
JUNGLE,모르가나,Blue,26,8,30.77
JUNGLE,모르가나,Red,41,20,48.78
JUNGLE,문도 박사,Blue,277,114,41.16
JUNGLE,문도 박사,Red,339,160,47.2
JUNGLE,바드,Red,1,0,0.0
JUNGLE,바이,Blue,1447,679,46.92
JUNGLE,바이,Red,1661,796,47.92
JUNGLE,베인,Blue,4,0,0.0
JUNGLE,베인,Red,3,1,33.33
JUNGLE,벨베스,Blue,593,321,54.13
JUNGLE,벨베스,Red,619,333,53.8
JUNGLE,볼리베어,Blue,31,10,32.26
JUNGLE,볼리베어,Red,31,20,64.52
JUNGLE,브라이어,Blue,148,61,41.22
JUNGLE,브라이어,Red,122,61,50.0
JUNGLE,브랜드,Blue,61,33,54.1
JUNGLE,브랜드,Red,56,29,51.79
JUNGLE,비에고,Blue,2003,981,48.98
JUNGLE,비에고,Red,2036,969,47.59
JUNGLE,뽀삐,Blue,142,76,53.52
JUNGLE,뽀삐,Red,153,76,49.67
JUNGLE,사이온,Blue,12,4,33.33
JUNGLE,사이온,Red,11,5,45.45
JUNGLE,사일러스,Blue,1409,710,50.39
JUNGLE,사일러스,Red,1509,739,48.97
JUNGLE,샤코,Blue,310,154,49.68
JUNGLE,샤코,Red,316,159,50.32
JUNGLE,세주아니,Blue,223,112,50.22
JUNGLE,세주아니,Red,264,125,47.35
JUNGLE,쉔,Blue,8,4,50.0
JUNGLE,쉔,Red,13,7,53.85
JUNGLE,쉬바나,Blue,10,5,50.0
JUNGLE,쉬바나,Red,9,2,22.22
JUNGLE,스몰더,Blue,1,0,0.0
JUNGLE,스카너,Blue,210,105,50.0
JUNGLE,스카너,Red,200,87,43.5
JUNGLE,신 짜오,Blue,1040,516,49.62
JUNGLE,신 짜오,Red,1153,553,47.96
JUNGLE,신지드,Red,3,1,33.33
JUNGLE,아무무,Blue,41,14,34.15
JUNGLE,아무무,Red,56,25,44.64
JUNGLE,아우렐리온 솔,Blue,4,1,25.0
JUNGLE,아우렐리온 솔,Red,4,1,25.0
JUNGLE,아이번,Blue,271,124,45.76
JUNGLE,아이번,Red,296,149,50.34
JUNGLE,아트록스,Blue,150,66,44.0
JUNGLE,아트록스,Red,162,70,43.21
JUNGLE,아펠리오스,Red,1,0,0.0
JUNGLE,암베사,Blue,1315,619,47.07
JUNGLE,암베사,Red,1375,602,43.78
JUNGLE,애쉬,Red,1,1,100.0
JUNGLE,에코,Blue,2389,1244,52.07
JUNGLE,에코,Red,2443,1234,50.51
JUNGLE,엘리스,Blue,355,176,49.58
JUNGLE,엘리스,Red,434,208,47.93
JUNGLE,오공,Blue,413,193,46.73
JUNGLE,오공,Red,450,215,47.78
JUNGLE,올라프,Blue,37,16,43.24
JUNGLE,올라프,Red,42,19,45.24
JUNGLE,요네,Blue,3,1,33.33
JUNGLE,요네,Red,6,3,50.0
JUNGLE,우디르,Blue,175,88,50.29
JUNGLE,우디르,Red,162,89,54.94
JUNGLE,우르곳,Blue,7,4,57.14
JUNGLE,우르곳,Red,1,1,100.0
JUNGLE,워윅,Blue,105,49,46.67
JUNGLE,워윅,Red,116,66,56.9
JUNGLE,이블린,Blue,398,211,53.02
JUNGLE,이블린,Red,394,214,54.31
JUNGLE,이즈리얼,Blue,3,1,33.33
JUNGLE,자르반 4세,Blue,1269,642,50.59
