position,champion,spell1,spell2,total_games,win_count,win_rate
BOTTOM,유나라,유체화,점멸,379,174,45.91
BOTTOM,유나라,정화,점멸,1294,626,48.38
BOTTOM,유나라,탈진,점멸,13,5,38.46
BOTTOM,이즈리얼,방어막,점멸,7461,3560,47.71
BOTTOM,이즈리얼,순간이동,점멸,138,77,55.8
BOTTOM,이즈리얼,정화,점멸,900,392,43.56
BOTTOM,이즈리얼,탈진,점멸,22,5,22.73
BOTTOM,자야,방어막,점멸,888,472,53.15
BOTTOM,자야,유체화,점멸,86,42,48.84
BOTTOM,자야,정화,점멸,125,60,48.0
BOTTOM,자이라,순간이동,점멸,12,6,50.0
BOTTOM,제라스,방어막,점멸,18,10,55.56
BOTTOM,제라스,순간이동,점멸,98,45,45.92
BOTTOM,제라스,정화,점멸,5,4,80.0
BOTTOM,제리,방어막,점멸,1134,536,47.27
BOTTOM,제리,유체화,점멸,153,73,47.71
BOTTOM,제리,정화,점멸,232,101,43.53
BOTTOM,직스,방어막,점멸,5,2,40.0
BOTTOM,직스,순간이동,점멸,694,373,53.75
BOTTOM,진,방어막,점멸,4086,1946,47.63
BOTTOM,진,순간이동,점멸,10,6,60.0
BOTTOM,진,유체화,점멸,116,63,54.31
BOTTOM,진,정화,점멸,866,399,46.07
BOTTOM,진,탈진,점멸,15,9,60.0
BOTTOM,진,회복,점멸,27,17,62.96
BOTTOM,징크스,방어막,점멸,3274,1714,52.35
BOTTOM,징크스,유체화,점멸,703,375,53.34
BOTTOM,징크스,정화,점멸,804,429,53.36
BOTTOM,징크스,탈진,점멸,15,5,33.33
BOTTOM,초가스,순간이동,점멸,16,10,62.5
BOTTOM,초가스,탈진,점멸,7,6,85.71
BOTTOM,카서스,순간이동,점멸,10,5,50.0
BOTTOM,카서스,탈진,점멸,112,66,58.93
BOTTOM,카시오페아,방어막,점멸,375,195,52.0
BOTTOM,카시오페아,순간이동,점멸,23,10,43.48
BOTTOM,카시오페아,유체화,점멸,217,129,59.45
BOTTOM,카시오페아,정화,점멸,30,15,50.0
BOTTOM,카시오페아,탈진,점멸,51,28,54.9
BOTTOM,카이사,방어막,점멸,6859,3395,49.5
BOTTOM,카이사,순간이동,점멸,17,8,47.06
BOTTOM,카이사,유체화,점멸,415,194,46.75
BOTTOM,카이사,정화,점멸,1465,671,45.8
BOTTOM,카이사,탈진,점멸,23,12,52.17
BOTTOM,카이사,회복,점멸,19,11,57.89
BOTTOM,칼리스타,방어막,점멸,386,210,54.4
BOTTOM,칼리스타,정화,점멸,54,35,64.81
BOTTOM,케이틀린,방어막,점멸,4029,2054,50.98
BOTTOM,케이틀린,순간이동,점멸,9,3,33.33
BOTTOM,케이틀린,유체화,점멸,318,161,50.63
BOTTOM,케이틀린,정화,점멸,778,369,47.43
BOTTOM,케이틀린,회복,점멸,10,7,70.0
BOTTOM,코그모,방어막,점멸,184,91,49.46
BOTTOM,코그모,순간이동,점멸,15,8,53.33
BOTTOM,코그모,유체화,점멸,37,24,64.86
BOTTOM,코그모,정화,점멸,34,17,50.0
BOTTOM,코그모,탈진,점멸,11,8,72.73
BOTTOM,코르키,방어막,점멸,972,462,47.53
BOTTOM,코르키,순간이동,점멸,5,4,80.0
BOTTOM,코르키,정화,점멸,124,62,50.0
BOTTOM,코르키,탈진,점멸,23,12,52.17
BOTTOM,키아나,점화,점멸,26,12,46.15
BOTTOM,탈리야,순간이동,점멸,6,3,50.0
BOTTOM,탈리야,유체화,점멸,10,6,60.0
BOTTOM,탈리야,회복,점멸,6,1,16.67
BOTTOM,트리스타나,방어막,점멸,2046,1094,53.47
BOTTOM,트리스타나,유체화,점멸,8,4,50.0
BOTTOM,트리스타나,정화,점멸,356,168,47.19
BOTTOM,트리스타나,탈진,점멸,19,10,52.63
BOTTOM,트위스티드 페이트,방어막,점멸,5,4,80.0
BOTTOM,트위치,방어막,점멸,445,219,49.21
BOTTOM,트위치,유체화,점멸,101,64,63.37
BOTTOM,트위치,정화,점멸,76,36,47.37
BOTTOM,하이머딩거,방어막,점멸,6,3,50.0
BOTTOM,하이머딩거,순간이동,점멸,117,67,57.26
BOTTOM,흐웨이,방어막,점멸,14,9,64.29
BOTTOM,흐웨이,순간이동,점멸,69,34,49.28
JUNGLE,그라가스,강타,점멸,115,59,51.3
JUNGLE,그레이브즈,강타,점멸,1194,574,48.07
JUNGLE,그웬,강타,유체화,1818,956,52.59
JUNGLE,그웬,강타,점멸,57,26,45.61
JUNGLE,그웬,강타,탈진,12,3,25.0
JUNGLE,나서스,강타,점멸,7,2,28.57
JUNGLE,나피리,강타,점멸,399,182,45.61
JUNGLE,노틸러스,강타,점멸,6,1,16.67
JUNGLE,녹턴,강타,점멸,605,318,52.56
JUNGLE,누누와 윌럼프,강타,유체화,16,8,50.0
JUNGLE,누누와 윌럼프,강타,점멸,1609,860,53.45
JUNGLE,니달리,강타,점멸,3107,1601,51.53
JUNGLE,니코,강타,점멸,39,24,61.54
JUNGLE,다리우스,강타,점멸,15,8,53.33
JUNGLE,다이애나,강타,점멸,1331,608,45.68
JUNGLE,람머스,강타,유체화,172,87,50.58
JUNGLE,람머스,강타,점멸,139,77,55.4
JUNGLE,럼블,강타,점멸,47,19,40.43
JUNGLE,렉사이,강타,점멸,2727,1478,54.2
JUNGLE,렝가,강타,점멸,655,327,49.92
JUNGLE,리 신,강타,점멸,9941,5076,51.06
JUNGLE,리븐,강타,점멸,34,18,52.94
JUNGLE,릴리아,강타,점멸,1298,686,52.85
JUNGLE,마스터 이,강타,점멸,597,284,47.57
JUNGLE,마오카이,강타,점멸,64,29,45.31
JUNGLE,말파이트,강타,점멸,3491,1543,44.2
JUNGLE,모데카이저,강타,유체화,12,5,41.67
JUNGLE,모데카이저,강타,점멸,9,6,66.67
JUNGLE,모르가나,강타,점멸,66,28,42.42
JUNGLE,문도 박사,강타,점멸,614,273,44.46
JUNGLE,바이,강타,점멸,3108,1475,47.46
JUNGLE,베인,강타,점멸,6,1,16.67
JUNGLE,벨베스,강타,유체화,35,9,25.71
JUNGLE,벨베스,강타,점멸,1177,645,54.8
JUNGLE,볼리베어,강타,점멸,62,30,48.39
JUNGLE,브라이어,강타,점멸,269,122,45.35
JUNGLE,브랜드,강타,점멸,117,62,52.99
JUNGLE,비에고,강타,점멸,4037,1949,48.28
JUNGLE,뽀삐,강타,점멸,295,152,51.53
JUNGLE,사이온,강타,점멸,22,9,40.91
JUNGLE,사일러스,강타,점멸,2918,1449,49.66
JUNGLE,샤코,강타,점멸,10,6,60.0
JUNGLE,샤코,강타,점화,615,307,49.92
JUNGLE,세주아니,강타,점멸,479,233,48.64
JUNGLE,쉔,강타,점멸,21,11,52.38
JUNGLE,쉬바나,강타,점멸,18,7,38.89
JUNGLE,스카너,강타,점멸,409,191,46.7
JUNGLE,신 짜오,강타,점멸,2192,1068,48.72
JUNGLE,아무무,강타,점멸,97,39,40.21
JUNGLE,아우렐리온 솔,강타,점멸,8,2,25.0
JUNGLE,아이번,강타,점멸,567,273,48.15
JUNGLE,아트록스,강타,점멸,312,136,43.59
JUNGLE,암베사,강타,점멸,2688,1220,45.39
JUNGLE,에코,강타,점멸,4832,2478,51.28
JUNGLE,엘리스,강타,점멸,789,384,48.67
JUNGLE,오공,강타,점멸,863,408,47.28
JUNGLE,올라프,강타,유체화,53,24,45.28
JUNGLE,올라프,강타,점멸,26,11,42.31
JUNGLE,요네,강타,점멸,9,4,44.44
JUNGLE,우디르,강타,유체화,22,11,50.0
JUNGLE,우디르,강타,점멸,315,166,52.7
JUNGLE,우르곳,강타,점멸,8,5,62.5
JUNGLE,워윅,강타,점멸,220,115,52.27
JUNGLE,이블린,강타,점멸,792,425,53.66
JUNGLE,자르반 4세,강타,점멸,2750,1365,49.64
JUNGLE,자이라,강타,점멸,1177,636,54.04
JUNGLE,자크,강타,점멸,1945,1050,53.98
JUNGLE,자헨,강타,점멸,71,37,52.11
JUNGLE,잭스,강타,점멸,239,126,52.72
JUNGLE,제드,강타,점멸,2134,1015,47.56
JUNGLE,제이스,강타,점멸,7703,3778,49.05
JUNGLE,초가스,강타,점멸,138,79,57.25
JUNGLE,카서스,강타,점멸,794,445,56.05
JUNGLE,카서스,강타,점화,59,35,59.32
JUNGLE,카서스,강타,탈진,1011,517,51.14
JUNGLE,카이사,강타,점멸,11,1,9.09
JUNGLE,카직스,강타,유체화,10,5,50.0
JUNGLE,카직스,강타,점멸,2251,1141,50.69
JUNGLE,카직스,강타,점화,13,11,84.62
