position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
TOP,빅토르,콩콩이 소환,마법,정밀,5,1,20.0
TOP,뽀삐,착취의 손아귀,결의,마법,172,81,47.09
TOP,뽀삐,착취의 손아귀,결의,영감,84,44,52.38
TOP,뽀삐,착취의 손아귀,결의,정밀,485,263,54.23
TOP,사이온,난입,마법,결의,49,19,38.78
TOP,사이온,난입,마법,영감,11,7,63.64
TOP,사이온,봉인 풀린 주문서,영감,결의,11,7,63.64
TOP,사이온,신비로운 유성,마법,결의,113,46,40.71
TOP,사이온,신비로운 유성,마법,영감,57,30,52.63
TOP,사이온,착취의 손아귀,결의,마법,124,59,47.58
TOP,사이온,착취의 손아귀,결의,영감,1787,820,45.89
TOP,사이온,착취의 손아귀,결의,정밀,145,63,43.45
TOP,사이온,착취의 손아귀,결의,지배,5,2,40.0
TOP,사일러스,감전,지배,결의,29,18,62.07
TOP,사일러스,감전,지배,마법,27,12,44.44
TOP,사일러스,감전,지배,영감,21,8,38.1
TOP,사일러스,감전,지배,정밀,6,1,16.67
TOP,사일러스,정복자,정밀,결의,343,172,50.15
TOP,사일러스,정복자,정밀,마법,18,9,50.0
TOP,사일러스,정복자,정밀,영감,142,73,51.41
TOP,사일러스,착취의 손아귀,결의,마법,5,2,40.0
TOP,사일러스,착취의 손아귀,결의,영감,19,9,47.37
TOP,샤코,신비로운 유성,마법,정밀,5,1,20.0
TOP,세나,기민한 발놀림,정밀,마법,13,9,69.23
TOP,세주아니,난입,마법,영감,6,3,50.0
TOP,세주아니,신비로운 유성,마법,결의,102,54,52.94
TOP,세주아니,신비로운 유성,마법,영감,41,20,48.78
TOP,세주아니,신비로운 유성,마법,정밀,212,106,50.0
TOP,세주아니,착취의 손아귀,결의,마법,58,29,50.0
TOP,세주아니,착취의 손아귀,결의,영감,58,27,46.55
TOP,세주아니,착취의 손아귀,결의,정밀,6,4,66.67
TOP,세트,기민한 발놀림,정밀,결의,20,10,50.0
TOP,세트,정복자,정밀,결의,929,435,46.82
TOP,세트,집중 공격,정밀,결의,55,26,47.27
TOP,세트,착취의 손아귀,결의,정밀,82,44,53.66
TOP,세트,칼날비,지배,결의,11,3,27.27
TOP,소라카,콩콩이 소환,마법,결의,31,14,45.16
TOP,쉔,여진,결의,지배,5,2,40.0
TOP,쉔,착취의 손아귀,결의,마법,64,36,56.25
TOP,쉔,착취의 손아귀,결의,영감,726,381,52.48
TOP,쉔,착취의 손아귀,결의,정밀,12,4,33.33
TOP,쉔,착취의 손아귀,결의,지배,369,180,48.78
TOP,스몰더,기민한 발놀림,정밀,결의,7,3,42.86
TOP,스몰더,기민한 발놀림,정밀,마법,30,10,33.33
TOP,스몰더,기민한 발놀림,정밀,영감,44,23,52.27
TOP,스몰더,착취의 손아귀,결의,정밀,6,2,33.33
TOP,스웨인,선제공격,영감,정밀,6,3,50.0
TOP,스웨인,정복자,정밀,결의,64,34,53.12
TOP,스웨인,정복자,정밀,마법,38,21,55.26
TOP,스웨인,콩콩이 소환,마법,결의,51,28,54.9
TOP,스웨인,콩콩이 소환,마법,영감,5,4,80.0
TOP,스웨인,콩콩이 소환,마법,정밀,68,36,52.94
TOP,스카너,착취의 손아귀,결의,마법,6,4,66.67
TOP,스카너,착취의 손아귀,결의,영감,10,4,40.0
TOP,신 짜오,정복자,정밀,결의,75,31,41.33
TOP,신 짜오,정복자,정밀,마법,6,3,50.0
TOP,신 짜오,정복자,정밀,영감,75,33,44.0
TOP,신 짜오,치명적 속도,정밀,영감,6,3,50.0
TOP,신 짜오,칼날비,지배,마법,35,13,37.14
TOP,신 짜오,칼날비,지배,정밀,14,4,28.57
TOP,신드라,감전,지배,마법,5,2,40.0
TOP,신드라,난입,마법,영감,6,4,66.67
TOP,신드라,선제공격,영감,마법,6,5,83.33
TOP,신드라,콩콩이 소환,마법,영감,5,3,60.0
TOP,신지드,난입,마법,결의,191,115,60.21
TOP,신지드,난입,마법,영감,21,10,47.62
TOP,신지드,봉인 풀린 주문서,영감,결의,65,43,66.15
TOP,신지드,봉인 풀린 주문서,영감,마법,159,89,55.97
TOP,신지드,정복자,정밀,결의,92,39,42.39
TOP,신지드,정복자,정밀,마법,597,313,52.43
TOP,신지드,정복자,정밀,영감,129,76,58.91
TOP,신지드,콩콩이 소환,마법,결의,8,3,37.5
TOP,신지드,콩콩이 소환,마법,영감,5,2,40.0
TOP,아리,감전,지배,마법,7,3,42.86
TOP,아리,선제공격,영감,마법,8,2,25.0
TOP,아이번,집중 공격,정밀,결의,16,8,50.0
TOP,아이번,집중 공격,정밀,영감,8,3,37.5
TOP,아이번,집중 공격,정밀,지배,27,16,59.26
TOP,아이번,콩콩이 소환,마법,결의,57,32,56.14
TOP,아지르,선제공격,영감,마법,11,7,63.64
TOP,아지르,선제공격,영감,정밀,30,18,60.0
TOP,아지르,치명적 속도,정밀,결의,21,9,42.86
TOP,아지르,치명적 속도,정밀,마법,48,25,52.08
TOP,아지르,치명적 속도,정밀,영감,30,16,53.33
TOP,아지르,콩콩이 소환,마법,정밀,8,6,75.0
TOP,아칼리,감전,지배,결의,312,158,50.64
TOP,아칼리,감전,지배,마법,245,122,49.8
TOP,아칼리,감전,지배,영감,33,16,48.48
TOP,아칼리,감전,지배,정밀,8,5,62.5
TOP,아칼리,기민한 발놀림,정밀,결의,12,5,41.67
TOP,아칼리,정복자,정밀,결의,388,188,48.45
TOP,아칼리,정복자,정밀,마법,18,9,50.0
TOP,아칼리,정복자,정밀,영감,78,40,51.28
TOP,아칼리,정복자,정밀,지배,21,6,28.57
TOP,아칼리,착취의 손아귀,결의,영감,5,1,20.0
TOP,아크샨,집중 공격,정밀,결의,38,15,39.47
TOP,아크샨,집중 공격,정밀,영감,29,15,51.72
TOP,아트록스,감전,지배,결의,131,56,42.75
TOP,아트록스,감전,지배,영감,11,3,27.27
TOP,아트록스,감전,지배,정밀,11,4,36.36
TOP,아트록스,기민한 발놀림,정밀,결의,5,3,60.0
TOP,아트록스,신비로운 유성,마법,결의,5,2,40.0
TOP,아트록스,정복자,정밀,결의,1899,884,46.55
TOP,아트록스,정복자,정밀,영감,72,37,51.39
TOP,아트록스,정복자,정밀,지배,13,5,38.46
TOP,아트록스,착취의 손아귀,결의,영감,174,93,53.45
TOP,아트록스,착취의 손아귀,결의,정밀,56,24,42.86
TOP,아트록스,착취의 손아귀,결의,지배,5,2,40.0
TOP,암베사,감전,지배,결의,274,132,48.18
TOP,암베사,감전,지배,영감,41,22,53.66
TOP,암베사,선제공격,영감,결의,5,3,60.0
TOP,암베사,선제공격,영감,지배,6,5,83.33
TOP,암베사,정복자,정밀,결의,372,182,48.92
TOP,암베사,정복자,정밀,영감,50,26,52.0
TOP,암베사,착취의 손아귀,결의,영감,4341,2119,48.81
TOP,암베사,착취의 손아귀,결의,정밀,12,5,41.67
TOP,암베사,착취의 손아귀,결의,지배,105,52,49.52
TOP,애니비아,감전,지배,마법,198,112,56.57
TOP,애니비아,감전,지배,정밀,122,67,54.92
TOP,애니비아,난입,마법,정밀,17,9,52.94
TOP,애니비아,봉인 풀린 주문서,영감,정밀,7,5,71.43
TOP,애니비아,신비로운 유성,마법,결의,5,3,60.0
TOP,애니비아,신비로운 유성,마법,정밀,10,6,60.0
TOP,애니비아,착취의 손아귀,결의,지배,6,2,33.33
TOP,야스오,정복자,정밀,결의,5,2,40.0
TOP,야스오,착취의 손아귀,결의,정밀,35,18,51.43
TOP,야스오,치명적 속도,정밀,결의,1051,491,46.72
TOP,야스오,치명적 속도,정밀,영감,35,19,54.29
TOP,에코,착취의 손아귀,결의,영감,8,2,25.0
