position,champion,item_name,total_games,win_count,win_rate
JUNGLE,릴리아,증폭의 고서,325,127,39.08
JUNGLE,마스터 이,롱소드,92,38,41.3
JUNGLE,마스터 이,마법무효화의 망토,20,6,30.0
JUNGLE,마스터 이,새끼 바람돌이,10,1,10.0
JUNGLE,마스터 이,장화,124,57,45.97
JUNGLE,마스터 이,증폭의 고서,19,6,31.58
JUNGLE,마오카이,암흑의 인장,5,3,60.0
JUNGLE,말파이트,마법무효화의 망토,309,101,32.69
JUNGLE,말파이트,사파이어 수정,16,4,25.0
JUNGLE,말파이트,새끼 바람돌이,30,4,13.33
JUNGLE,말파이트,새끼 화염발톱,52,6,11.54
JUNGLE,말파이트,암흑의 인장,171,85,49.71
JUNGLE,말파이트,장화,66,19,28.79
JUNGLE,말파이트,증폭의 고서,37,19,51.35
JUNGLE,모르가나,암흑의 인장,22,6,27.27
JUNGLE,모르가나,증폭의 고서,17,9,52.94
JUNGLE,문도 박사,마법무효화의 망토,24,6,25.0
JUNGLE,문도 박사,새끼 바람돌이,10,1,10.0
JUNGLE,문도 박사,새끼 화염발톱,6,0,0.0
JUNGLE,문도 박사,장화,8,1,12.5
JUNGLE,바이,롱소드,612,236,38.56
JUNGLE,바이,마법무효화의 망토,99,44,44.44
JUNGLE,바이,새끼 바람돌이,97,3,3.09
JUNGLE,바이,새끼 화염발톱,20,1,5.0
JUNGLE,바이,장화,36,9,25.0
JUNGLE,벨베스,롱소드,266,113,42.48
JUNGLE,벨베스,마법무효화의 망토,67,29,43.28
JUNGLE,벨베스,새끼 바람돌이,41,8,19.51
JUNGLE,벨베스,암흑의 인장,12,8,66.67
JUNGLE,벨베스,장화,92,46,50.0
JUNGLE,브라이어,롱소드,57,27,47.37
JUNGLE,브라이어,새끼 화염발톱,5,0,0.0
JUNGLE,브라이어,장화,59,18,30.51
JUNGLE,브랜드,암흑의 인장,8,5,62.5
JUNGLE,브랜드,장화,7,2,28.57
JUNGLE,브랜드,증폭의 고서,32,11,34.38
JUNGLE,비에고,롱소드,972,347,35.7
JUNGLE,비에고,마법무효화의 망토,56,33,58.93
JUNGLE,비에고,새끼 바람돌이,96,8,8.33
JUNGLE,비에고,새끼 화염발톱,14,1,7.14
JUNGLE,비에고,장화,503,223,44.33
JUNGLE,뽀삐,롱소드,23,8,34.78
JUNGLE,뽀삐,마법무효화의 망토,13,6,46.15
JUNGLE,뽀삐,새끼 바람돌이,15,1,6.67
JUNGLE,뽀삐,장화,16,9,56.25
JUNGLE,사일러스,마법무효화의 망토,26,8,30.77
JUNGLE,사일러스,새끼 바람돌이,59,11,18.64
JUNGLE,사일러스,새끼 화염발톱,77,8,10.39
