position,champion,item_name,total_games,win_count,win_rate
TOP,카타리나,예언자의 렌즈,18,7.0,38.89
MIDDLE,제이스,예언자의 렌즈,102,47.0,46.08
MIDDLE,트위치,예언자의 렌즈,4,2.0,50.0
MIDDLE,나피리,투명 와드,74,28.0,37.84
TOP,아칼리,망원형 개조,92,42.0,45.65
TOP,아지르,망원형 개조,71,38.0,53.52
BOTTOM,드레이븐,투명 와드,149,40.0,26.85
MIDDLE,올라프,투명 와드,4,2.0,50.0
JUNGLE,우디르,예언자의 렌즈,268,140.0,52.24
MIDDLE,리븐,예언자의 렌즈,50,33.0,66.0
MIDDLE,나피리,예언자의 렌즈,611,309.0,50.57
MIDDLE,말자하,예언자의 렌즈,141,77.0,54.61
TOP,모데카이저,투명 와드,397,190.0,47.86
MIDDLE,리 신,투명 와드,80,41.0,51.25
UTILITY,녹턴,예언자의 렌즈,6,2.0,33.33
JUNGLE,키아나,투명 와드,99,44.0,44.44
TOP,우르곳,투명 와드,320,163.0,50.94
MIDDLE,클레드,투명 와드,31,7.0,22.58
TOP,리산드라,투명 와드,40,24.0,60.0
TOP,루시안,망원형 개조,39,24.0,61.54
MIDDLE,에코,망원형 개조,101,42.0,41.58
BOTTOM,신지드,망원형 개조,150,84.0,56.0
BOTTOM,흐웨이,망원형 개조,78,43.0,55.13
JUNGLE,그라가스,예언자의 렌즈,105,56.0,53.33
JUNGLE,에코,투명 와드,189,89.0,47.09
UTILITY,제드,예언자의 렌즈,9,1.0,11.11
MIDDLE,초가스,투명 와드,22,7.0,31.82
TOP,베인,예언자의 렌즈,37,21.0,56.76
UTILITY,바루스,예언자의 렌즈,8,2.0,25.0
MIDDLE,드레이븐,망원형 개조,14,7.0,50.0
TOP,초가스,투명 와드,64,38.0,59.38
MIDDLE,카르마,예언자의 렌즈,36,18.0,50.0
BOTTOM,아크샨,망원형 개조,3,2.0,66.67
TOP,말자하,망원형 개조,29,10.0,34.48
TOP,아크샨,망원형 개조,56,30.0,53.57
UTILITY,베인,예언자의 렌즈,33,19.0,57.58
TOP,퀸,예언자의 렌즈,86,49.0,56.98
BOTTOM,스웨인,투명 와드,119,58.0,48.74
JUNGLE,렉사이,망원형 개조,10,2.0,20.0
BOTTOM,코르키,예언자의 렌즈,3,1.0,33.33
MIDDLE,아크샨,투명 와드,146,45.0,30.82
JUNGLE,케인,투명 와드,29,10.0,34.48
TOP,나서스,망원형 개조,67,36.0,53.73
MIDDLE,블라디미르,예언자의 렌즈,147,84.0,57.14
JUNGLE,잭스,예언자의 렌즈,12,5.0,41.67
MIDDLE,제라스,투명 와드,75,27.0,36.0
TOP,퀸,투명 와드,178,85.0,47.75
MIDDLE,키아나,투명 와드,81,25.0,30.86
JUNGLE,아이번,예언자의 렌즈,513,246.0,47.95
MIDDLE,문도 박사,투명 와드,8,2.0,25.0
TOP,모데카이저,예언자의 렌즈,234,121.0,51.71
MIDDLE,말파이트,예언자의 렌즈,60,31.0,51.67
MIDDLE,레넥톤,망원형 개조,32,15.0,46.88
BOTTOM,세나,망원형 개조,24,9.0,37.5
UTILITY,키아나,예언자의 렌즈,44,21.0,47.73
TOP,탈론,망원형 개조,5,4.0,80.0
BOTTOM,바루스,투명 와드,181,30.0,16.57
MIDDLE,세트,망원형 개조,6,2.0,33.33
MIDDLE,케넨,망원형 개조,17,11.0,64.71
MIDDLE,아우렐리온 솔,투명 와드,82,35.0,42.68
BOTTOM,트리스타나,투명 와드,243,71.0,29.22
JUNGLE,제이스,투명 와드,247,111.0,44.94
TOP,오공,투명 와드,134,55.0,41.04
MIDDLE,케이틀린,망원형 개조,3,2.0,66.67
JUNGLE,자이라,망원형 개조,160,86.0,53.75
JUNGLE,모르가나,예언자의 렌즈,64,27.0,42.19
UTILITY,제이스,예언자의 렌즈,20,15.0,75.0
TOP,오공,예언자의 렌즈,109,68.0,62.39
JUNGLE,킨드레드,투명 와드,142,77.0,54.23
BOTTOM,트위치,투명 와드,68,17.0,25.0
JUNGLE,자르반 4세,망원형 개조,7,1.0,14.29
BOTTOM,사미라,투명 와드,82,19.0,23.17
MIDDLE,신지드,투명 와드,93,48.0,51.61
JUNGLE,마스터 이,투명 와드,80,39.0,48.75
TOP,다이애나,망원형 개조,6,4.0,66.67
MIDDLE,판테온,망원형 개조,82,51.0,62.2
JUNGLE,탈론,투명 와드,139,70.0,50.36
MIDDLE,르블랑,투명 와드,215,79.0,36.74
MIDDLE,레넥톤,투명 와드,75,36.0,48.0
TOP,오공,망원형 개조,15,10.0,66.67
MIDDLE,다이애나,투명 와드,152,40.0,26.32
MIDDLE,스웨인,예언자의 렌즈,116,58.0,50.0
TOP,자이라,망원형 개조,3,2.0,66.67
UTILITY,자이라,예언자의 렌즈,385,182.0,47.27
MIDDLE,노틸러스,예언자의 렌즈,1,1.0,100.0
TOP,애니비아,예언자의 렌즈,46,27.0,58.7
JUNGLE,판테온,망원형 개조,9,3.0,33.33
MIDDLE,세주아니,예언자의 렌즈,11,6.0,54.55
MIDDLE,트린다미어,투명 와드,50,16.0,32.0
UTILITY,브라움,투명 와드,6,1.0,16.67
TOP,블라디미르,예언자의 렌즈,303,174.0,57.43
MIDDLE,애니비아,예언자의 렌즈,304,180.0,59.21
TOP,세트,예언자의 렌즈,309,156.0,50.49
JUNGLE,비에고,투명 와드,138,54.0,39.13
MIDDLE,우디르,투명 와드,4,1.0,25.0
BOTTOM,스몰더,투명 와드,130,43.0,33.08
MIDDLE,리븐,투명 와드,45,28.0,62.22
MIDDLE,탈론,망원형 개조,84,35.0,41.67
TOP,키아나,예언자의 렌즈,70,27.0,38.57
MIDDLE,루시안,투명 와드,16,5.0,31.25
TOP,케일,투명 와드,136,68.0,50.0
MIDDLE,세트,예언자의 렌즈,22,14.0,63.64
JUNGLE,오공,망원형 개조,2,1.0,50.0
JUNGLE,자르반 4세,투명 와드,92,36.0,39.13
MIDDLE,신지드,망원형 개조,26,17.0,65.38
TOP,탐 켄치,투명 와드,168,78.0,46.43
MIDDLE,사이온,투명 와드,121,59.0,48.76
JUNGLE,스카너,예언자의 렌즈,388,185.0,47.68
MIDDLE,말파이트,망원형 개조,27,18.0,66.67
BOTTOM,카서스,투명 와드,39,24.0,61.54
MIDDLE,베인,망원형 개조,17,9.0,52.94
TOP,다리우스,투명 와드,559,242.0,43.29
MIDDLE,크산테,망원형 개조,13,5.0,38.46
TOP,가렌,망원형 개조,110,57.0,51.82
MIDDLE,제리,망원형 개조,45,20.0,44.44
TOP,빅토르,투명 와드,24,13.0,54.17
TOP,워윅,망원형 개조,85,45.0,52.94
JUNGLE,문도 박사,투명 와드,25,8.0,32.0
MIDDLE,나서스,망원형 개조,6,5.0,83.33
UTILITY,오로라,예언자의 렌즈,4,1.0,25.0
TOP,우르곳,예언자의 렌즈,339,193.0,56.93
TOP,그레이브즈,투명 와드,8,1.0,12.5
MIDDLE,질리언,망원형 개조,21,11.0,52.38
BOTTOM,베인,투명 와드,33,6.0,18.18
TOP,소라카,투명 와드,7,3.0,42.86
MIDDLE,럭스,예언자의 렌즈,56,43.0,76.79
BOTTOM,야스오,예언자의 렌즈,52,30.0,57.69
JUNGLE,리븐,예언자의 렌즈,33,17.0,51.52
MIDDLE,베이가,투명 와드,155,78.0,50.32
UTILITY,럼블,예언자의 렌즈,29,13.0,44.83
MIDDLE,잭스,투명 와드,26,11.0,42.31
JUNGLE,렝가,망원형 개조,50,21.0,42.0
TOP,카시오페아,예언자의 렌즈,93,51.0,54.84
MIDDLE,카사딘,투명 와드,110,41.0,37.27
MIDDLE,제이스,투명 와드,22,7.0,31.82
JUNGLE,누누와 윌럼프,망원형 개조,8,3.0,37.5
JUNGLE,릴리아,투명 와드,52,22.0,42.31
MIDDLE,룰루,투명 와드,10,5.0,50.0
BOTTOM,멜,투명 와드,20,4.0,20.0
TOP,문도 박사,망원형 개조,183,103.0,56.28
TOP,제드,예언자의 렌즈,73,35.0,47.95
TOP,티모,망원형 개조,58,29.0,50.0
BOTTOM,드레이븐,예언자의 렌즈,25,15.0,60.0
TOP,모데카이저,망원형 개조,171,98.0,57.31
MIDDLE,직스,투명 와드,18,9.0,50.0
JUNGLE,트런들,투명 와드,8,2.0,25.0
UTILITY,초가스,예언자의 렌즈,17,8.0,47.06
JUNGLE,워윅,투명 와드,67,38.0,56.72
MIDDLE,클레드,망원형 개조,6,2.0,33.33
BOTTOM,카시오페아,투명 와드,132,61.0,46.21
MIDDLE,쉔,예언자의 렌즈,9,6.0,66.67
BOTTOM,빅토르,망원형 개조,72,45.0,62.5
JUNGLE,니코,예언자의 렌즈,39,24.0,61.54
UTILITY,오공,예언자의 렌즈,26,11.0,42.31
JUNGLE,사이온,예언자의 렌즈,23,9.0,39.13
TOP,니달리,투명 와드,78,39.0,50.0
BOTTOM,트리스타나,예언자의 렌즈,30,16.0,53.33
JUNGLE,뽀삐,투명 와드,7,2.0,28.57
TOP,드레이븐,망원형 개조,205,102.0,49.76
MIDDLE,나피리,망원형 개조,57,30.0,52.63
TOP,아이번,투명 와드,29,15.0,51.72
UTILITY,세트,예언자의 렌즈,57,25.0,43.86
TOP,뽀삐,망원형 개조,96,44.0,45.83
TOP,다이애나,예언자의 렌즈,29,19.0,65.52
TOP,아이번,망원형 개조,55,30.0,54.55
MIDDLE,럭스,투명 와드,36,12.0,33.33
MIDDLE,케넨,예언자의 렌즈,78,50.0,64.1
TOP,니달리,망원형 개조,46,25.0,54.35
TOP,코르키,망원형 개조,62,29.0,46.77
MIDDLE,스몰더,투명 와드,54,17.0,31.48
TOP,룰루,투명 와드,68,40.0,58.82
TOP,카시오페아,투명 와드,158,66.0,41.77
JUNGLE,말파이트,투명 와드,162,54.0,33.33
TOP,초가스,예언자의 렌즈,102,42.0,41.18
MIDDLE,모르가나,투명 와드,22,6.0,27.27
MIDDLE,루시안,예언자의 렌즈,9,5.0,55.56
TOP,카르마,투명 와드,23,5.0,21.74
TOP,스몰더,망원형 개조,71,33.0,46.48
JUNGLE,브랜드,예언자의 렌즈,111,59.0,53.15
TOP,리븐,망원형 개조,151,85.0,56.29
TOP,케인,투명 와드,37,13.0,35.14
JUNGLE,카직스,망원형 개조,23,10.0,43.48
